kode_depkes,kode_sp2tp,lingkup,nama_puskesmas,kondisi_bangunan_puskesmas,jenis_puskesmas,wilayah,nama_kecamatan,alamat_puskesmas,no_telp,no_fax,email,ket
P3171020206,31710206,Puskesmas Kelurahan,KEL. PASAR MINGGU I,Baik,Non Perawatan,Jakarta Selatan,PASAR MINGGU,Jl. BII Rawa Bambu (KOMP. AL),021-7829927,021-7829927,,
P3171020207,31710207,Puskesmas Kelurahan,KEL. PASAR MINGGU II,Rusak Berat,Non Perawatan,Jakarta Selatan,PASAR MINGGU,Jl. Raya Ragunan,021-7891734,021-7891734,,
P3171020208,31710208,Puskesmas Kelurahan,KEL. KEBAGUSAN,Baik,Non Perawatan,Jakarta Selatan,PASAR MINGGU,Jl. Puskesmas RT 008/02,021-7803117,021-7803117,,
P3171020209,31710209,Puskesmas Kelurahan,KEL. RAGUNAN,Baik,Non Perawatan,Jakarta Selatan,PASAR MINGGU,Jl. Harsono RM RT 007/02,021-7812770,021-7812770,,
P3171020210,31710210,Puskesmas Kelurahan,KEL. CILANDAK TIMUR,Baik,Non Perawatan,Jakarta Selatan,PASAR MINGGU,Jl. Madrasah No. 11 RT 10/05,021-7814555,021-7814555,,
P3171020211,31710211,Puskesmas Kelurahan,KEL. JATI PADANG,Baik,Non Perawatan,Jakarta Selatan,PASAR MINGGU,Jl. Jati Padang 1A,,,,
P3171030201,31710701,Puskesmas Kecamatan,KEC. CILANDAK,Baik,Non Perawatan,Jakarta Selatan,CILANDAK,Jl. Komplek BNI 1946,"021-7661613, 7694279, 7669454",021-7694279,,
P3171030202,31710702,Puskesmas Kelurahan,KEL. GANDARIA SELATAN,Baik,Non Perawatan,Jakarta Selatan,CILANDAK,Jl. Madrasah 25,012-7650437,021-7650437,,
P3171030203,31710703,Puskesmas Kelurahan,KEL. CIPETE SELATAN,Rusak Ringan,Non Perawatan,Jakarta Selatan,CILANDAK,Jl. Anggur II RT 016,021-7669455,021-7669455,,
P3171030204,31710704,Puskesmas Kelurahan,KEL. CILANDAK BARAT,Rusak Ringan,Non Perawatan,Jakarta Selatan,CILANDAK,Jl. Sekura 123,021-7663586,021-7663586,,
P3171030205,31710705,Puskesmas Kelurahan,KEL. LEBAK BULUS,Baik,Non Perawatan,Jakarta Selatan,CILANDAK,Jl. Puskesmas RT 001/06,021-7665710,021-7665710,,
P3171030206,31710706,Puskesmas Kelurahan,KEL. PONDOK LABU,Rusak Berat,Non Perawatan,Jakarta Selatan,CILANDAK,Jl. Kelurahan Lama No. 2,021-7669456,021-7669456,,
P3171040201,31710801,Puskesmas Kecamatan,KEC. PESANGGRAHAN,Baik,Perawatan,Jakarta Selatan,PESANGGRAHAN,Jl. Cenek Raya,021-7356087,021-7356087,,
P3171040202,31710802,Puskesmas Kelurahan,KEL. PETUKANGAN UTARA,Baik,Non Perawatan,Jakarta Selatan,PESANGGRAHAN,Jl. Masjid Darul Falah,021-5866379,021-5866379,,
P3171040203,31710803,Puskesmas Kelurahan,KEL. PETUKANGAN SELATAN,Rusak Ringan,Non Perawatan,Jakarta Selatan,PESANGGRAHAN,Jl. Kemajuan RT 008,021-7378180,021-7378180,,
P3171040204,31710804,Puskesmas Kelurahan,KEL. ULUJAMI,Rusak Berat,Non Perawatan,Jakarta Selatan,PESANGGRAHAN,Jl. Ulujami Raya 18,021-7377862,021-7377862,,
P3171040205,31710805,Puskesmas Kelurahan,KEL. BINTARO,Baik,Non Perawatan,Jakarta Selatan,PESANGGRAHAN,Jl. Mufakat RT 002,021-7356807,021-7356807,,
P3171040206,31710806,Puskesmas Kelurahan,KEL. PESANGGRAHAN,Rusak Ringan,Non Perawatan,Jakarta Selatan,PESANGGRAHAN,Jl. Wijaya Kusuma,021-73880174,021-73880174,,
P3171050201,31710101,Puskesmas Kecamatan,KEC. KEBAYORAN LAMA,Baik,Perawatan,Jakarta Selatan,KEBAYORAN LAMA,Jl. Ciputat Raya RT 005,021-7245439,021-7245439,pkmklama@plasa.com,
P3171050202,31710102,Puskesmas Kelurahan,KEL. GROGOL UTARA I,Rusak Berat,Non Perawatan,Jakarta Selatan,KEBAYORAN LAMA,Jl. Kemandoran I RT 006,021-5324826,021-5324826,,
P3171050203,31710103,Puskesmas Kelurahan,KEL. GROGOL UTARA II,Rusak Berat,Non Perawatan,Jakarta Selatan,KEBAYORAN LAMA,Jl. Tanah Baru  V,021-5324968,021-5324968,,
P3171050204,31710104,Puskesmas Kelurahan,KEL. GROGOL SELATAN,Rusak Berat,Non Perawatan,Jakarta Selatan,KEBAYORAN LAMA,Jl. Kuburan Islam RT 011,021-7224909,021-7224909,,
P3171050205,31710105,Puskesmas Kelurahan,KEL. CIPULIR  I,Baik,Non Perawatan,Jakarta Selatan,KEBAYORAN LAMA,Jl. Cileduk Raya Gg Indra,021-7257810,021-7257810,,
P3171050206,31710106,Puskesmas Kelurahan,KEL. CIPULIR  II,Baik,Non Perawatan,Jakarta Selatan,KEBAYORAN LAMA,Jl. Kebon Mangga II/30,021-7269603,021-7269603,,
P3171050207,31710107,Puskesmas Kelurahan,KEL. KEB.LAMA UTARA,Rusak Ringan,Non Perawatan,Jakarta Selatan,KEBAYORAN LAMA,Jl. Bendi Raya Blok A,021-7238750,021-7238750,,
P3171050208,31710109,Puskesmas Kelurahan,KEL. KEB.LAMA SELATAN,Rusak Berat,Non Perawatan,Jakarta Selatan,KEBAYORAN LAMA,Jl. Bungur,021-7248428,021-7248426,,
P3171050209,31710108,Puskesmas Kelurahan,KEL. PONDOK PINANG,Rusak Berat,Non Perawatan,Jakarta Selatan,KEBAYORAN LAMA,Jl. Ciputat Raya,021-7651435,021-7651435,,
P3171060201,31710401,Puskesmas Kecamatan,KEC. KEBAYORAN BARU,Rusak Berat,Perawatan,Jakarta Selatan,KEBAYORAN BARU,Jl. Iskandarsyah Raya 106,021-7220274,021-7220274,,
P3171060202,31710402,Puskesmas Kelurahan,KEL. SENAYAN,Rusak Ringan,Non Perawatan,Jakarta Selatan,KEBAYORAN BARU,Jl. Tulodong Bawah  V,021-5271405,021-5271405,,
P3171060203,31710403,Puskesmas Kelurahan,KEL. RAWA BARAT,Rusak Ringan,Non Perawatan,Jakarta Selatan,KEBAYORAN BARU,Jl. Gunawarman 74,021-7205570,021-7205570,,
P3171060204,31710404,Puskesmas Kelurahan,KEL. SELONG,Rusak Berat,Non Perawatan,Jakarta Selatan,KEBAYORAN BARU,Jl. Rajasa  III/4,021-7236636,021-7236636,,
P3171060205,31710405,Puskesmas Kelurahan,KEL. GUNUNG,Rusak Ringan,Non Perawatan,Jakarta Selatan,KEBAYORAN BARU,Jl. Bone No. 25,021-7258548,021-7258548,,
P3171060206,31710406,Puskesmas Kelurahan,KEL. KRAMAT PELA,Rusak Ringan,Non Perawatan,Jakarta Selatan,KEBAYORAN BARU,"Jl. Gandaria Tengah,  V/3",021-7233832,021-7233832,,
P3171060207,31710407,Puskesmas Kelurahan,KEL. PETOGOGAN,Baik,Non Perawatan,Jakarta Selatan,KEBAYORAN BARU,Jl. Pulo Raya,021-7262979,021-7262979,,
P3171060208,31710408,Puskesmas Kelurahan,KEL. P U L O,Baik,Non Perawatan,Jakarta Selatan,KEBAYORAN BARU,Jl. Bayem  I/4,021-7244166,021-7244166,,
P3171060209,31710409,Puskesmas Kelurahan,KEL. GANDARIA UTARA  I,Baik,Non Perawatan,Jakarta Selatan,KEBAYORAN BARU,Jl. Deltasari  F/10,021-7228612,021-7228612,,
P3171060210,31710410,Puskesmas Kelurahan,KEL. GANDARIA UTARA II,Rusak Ringan,Non Perawatan,Jakarta Selatan,KEBAYORAN BARU,Jl. Masjid Blok A,021-7223458,021-7223458,,
P3171060211,31710411,Puskesmas Kelurahan,KEL. CIPETE UTARA,Rusak Ringan,Non Perawatan,Jakarta Selatan,KEBAYORAN BARU,Jl. H Abd Majid,021-7237462,021-7237462,,
P3171070201,31710301,Puskesmas Kecamatan,KEC. MAMPANG PRAPATAN,Baik,Perawatan,Jakarta Selatan,MAMPANG PRAPATAN,Jl. Kapt. Tendean RT. 011,021-79192187,021-79192187,,
P3171070202,31710302,Puskesmas Kelurahan,KEL. KUNINGAN BARAT,Rusak Berat,Non Perawatan,Jakarta Selatan,MAMPANG PRAPATAN,Jl. Poncol Jaya  No. 40,021-5260944,021-5260944,,
P3171070203,31710303,Puskesmas Kelurahan,KEL. MAMPANG PRAPATAN,Rusak Ringan,Non Perawatan,Jakarta Selatan,MAMPANG PRAPATAN,Jl. Buncit Ujung RT. 012,021-7943509,021-7943509,,
P3171070204,31710304,Puskesmas Kelurahan,KEL. PELA MAMPANG  I,Baik,Non Perawatan,Jakarta Selatan,MAMPANG PRAPATAN,Jl. Pondok Jaya  III,021-7194008,,,
P3171070205,31710305,Puskesmas Kelurahan,KEL. PELA MAMPANG  II,Rusak Ringan,Non Perawatan,Jakarta Selatan,MAMPANG PRAPATAN,Jl. Bangka Gg  V RT. 008,021-7194967,021-7194967,,
P3171070206,31710306,Puskesmas Kelurahan,KEL. TEGAL PARANG,Baik,Non Perawatan,Jakarta Selatan,MAMPANG PRAPATAN,Jl. Mampang Prapatan XI,021-7941580,021-7941580,,
P3171070207,31710307,Puskesmas Kelurahan,KEL. BANGKA,Rusak Ringan,Non Perawatan,Jakarta Selatan,MAMPANG PRAPATAN,Jl. SD Bangka No. 2,021-7196578,021-7196578,,
P3171080201,31710901,Puskesmas Kecamatan,KEC. PANCORAN,Rusak Ringan,Non Perawatan,Jakarta Selatan,PANCORAN,Jl. Potlot II  RT. 002,021-7974024,,,
P3171080202,31710902,Puskesmas Kelurahan,KEL. DUREN TIGA,Rusak Ringan,Non Perawatan,Jakarta Selatan,PANCORAN,Jl. Binawarga RT. 003,021-7944040,021-7944040,,
P3171080203,31710903,Puskesmas Kelurahan,KEL. KALIBATA  I,Rusak Ringan,Non Perawatan,Jakarta Selatan,PANCORAN,Jl. Megawai Raya VII  RT. 012,021-7446642,,,
P3171080204,31710904,Puskesmas Kelurahan,KEL. KALIBATA  II,Baik,Non Perawatan,Jakarta Selatan,PANCORAN,Jl. Warung Jati  VII,021-79198514,021-79198514,,
P3171080205,31710905,Puskesmas Kelurahan,KEL. CIKOKO,Rusak Ringan,Non Perawatan,Jakarta Selatan,PANCORAN,Jl. Cikoto  RT. 003,021-7946051,021-794051,,
P3171080206,31710906,Puskesmas Kelurahan,KEL. PENGADEGAN,Baik,Non Perawatan,Jakarta Selatan,PANCORAN,Jl. Pengadegan Timur RT. 003,021-7946050,,,
P3171080207,31710907,Puskesmas Kelurahan,KEL. RAWAJATI I,Rusak Ringan,Non Perawatan,Jakarta Selatan,PANCORAN,Kel. Pancoran,021-7980483,021-7980483,,
P3171080208,31710908,Puskesmas Kelurahan,KEL. RAWAJATI II,Rusak Total,Non Perawatan,Jakarta Selatan,PANCORAN,Kel. Rawajati,021-7946634,021-7946634,,
P3171080209,31710909,Puskesmas Kelurahan,KEL. PANCORAN,Baik,Non Perawatan,Jakarta Selatan,PANCORAN,Kel. Rawajati,021-7988538,,,
P3171090201,31710601,Puskesmas Kecamatan,KEC. TEBET,Baik,Perawatan,Jakarta Selatan,TEBET,Jl. Prof. Supomo No. 54,021-8314955,021-8296918,,
P3171090202,31710602,Puskesmas Kelurahan,KEL. MENTENG DALAM,Rusak Ringan,Non Perawatan,Jakarta Selatan,TEBET,Jl. Warung Pedok  II RT. 003,021-8352943,021-8352943,,
P3171090204,31710604,Puskesmas Kelurahan,KEL. TEBET BARAT,Baik,Non Perawatan,Jakarta Selatan,TEBET,Jl. Tebet Timur  III,021-8295976,021-8295976,,
P3171090205,31710605,Puskesmas Kelurahan,KEL. TEBET TIMUR,Baik,Non Perawatan,Jakarta Selatan,TEBET,Jl. Asem Baris Raya No. 65,021-8350632,,,
P3171090206,31710606,Puskesmas Kelurahan,KEL. KEBON BARU,Baik,Non Perawatan,Jakarta Selatan,TEBET,Jl. Bukit Duri Tanjakan,021-8353524,021-8353524,,
P3171090207,31710607,Puskesmas Kelurahan,KEL. BUKIT DURI,Rusak Ringan,Non Perawatan,Jakarta Selatan,TEBET,Jl. Dr Saharjo Gg Rambutan,021-8352556,021-8352556,,
P3171090208,31710608,Puskesmas Kelurahan,KEL. MANGGARAI SELATAN,Rusak Ringan,Non Perawatan,Jakarta Selatan,TEBET,Jl. Dr Saharjo Gg Bedeng Dalam,021-8352992,021-8352992,,
P3171090209,31710609,Puskesmas Kelurahan,KEL. MANGGARAI,Rusak Ringan,Non Perawatan,Jakarta Selatan,TEBET,Jl. Dr Saharjo Gg Bedeng Dalam,021-8305391,021-8305391,,
P3171100201,31710501,Puskesmas Kecamatan,KEC. SETIA BUDI,Baik,Non Perawatan,Jakarta Selatan,SETIA BUDI,Jl. Halimun No. 14,021-8295529,021-8295529,,
P3171100202,31710502,Puskesmas Kelurahan,KEL. SETIA BUDI,Baik,Non Perawatan,Jakarta Selatan,SETIA BUDI,Jl. Jend. Sudirman No.13A,021-5263352,021-5263352,,
P3171100203,31710503,Puskesmas Kelurahan,KEL. KARET,Baik,Non Perawatan,Jakarta Selatan,SETIA BUDI,Jl. Karet Belakang RT. 011,021-5264352,021-5264352,,
P3171100204,31710504,Puskesmas Kelurahan,KEL. PASAR MANGGIS,Baik,Non Perawatan,Jakarta Selatan,SETIA BUDI,Jl. Menteng Granit  4,021-8308588,021-8308588,,
P3171100205,31710505,Puskesmas Kelurahan,KEL. MENTENG ATAS,Baik,Non Perawatan,Jakarta Selatan,SETIA BUDI,Jl. Subur Komplek AKABRI,021-8305394,021-8305394,,
P3171100206,31710506,Puskesmas Kelurahan,KEL. KARET KUNINGAN,,,Jakarta Selatan,SETIA BUDI,Jl. Anggrek I No.7 RT 11/01,,,,Kontrak tahun 2013
P3171100207,31710507,Puskesmas Kelurahan,KEL. KUNINGAN TIMUR,,,Jakarta Selatan,SETIA BUDI,Jl. Guru Mukti No.7 RT.01/05,,,,Kontrak tahun 2013
P3172010201,31720101,Puskesmas Kecamatan,KEC. PASAR REBO,Rusak Ringan,Perawatan,Jakarta Timur,PASAR REBO,Jl. Lapan Kalisari No 1 RT. 010/01,021-8720053,021-87711248,,
P3172010202,31720102,Puskesmas Kelurahan,KEL. BARU,Baik,Non Perawatan,Jakarta Timur,PASAR REBO,Jl. Puskesmas Kel. Baru RT. 008/01,021-87780576,,,
P3172010203,31720104,Puskesmas Kelurahan,KEL. GEDONG,Rusak Berat,Non Perawatan,Jakarta Timur,PASAR REBO,Jl. Raya Condet RT. 012/03,021-8413140,,,
P3172010204,31720105,Puskesmas Kelurahan,KEL. CIJANTUNG,Baik,Non Perawatan,Jakarta Timur,PASAR REBO,Jl. Pertengahan Kel. Cijantung 05/07,021-8705354,,,
P3172010205,31720106,Puskesmas Kelurahan,KEL. KALISARI,Baik,Non Perawatan,Jakarta Timur,PASAR REBO,Jl. Puskesmas Kel. Kalisari RT. 003/03,021-8708609,,,
P3172010206,31720103,Puskesmas Kelurahan,KEL. PEKAYON,Baik,Non Perawatan,Jakarta Timur,PASAR REBO,Jl. Bulak Sari RT. 009/06,021-8718480,,,
P3172020201,31720901,Puskesmas Kecamatan,KEC. CIRACAS,Rusak Berat,Perawatan,Jakarta Timur,CIRACAS,Jl. Raya Lapang Tembak RT. 003/01,021-8718995,021-8718995,,
P3172020202,31720902,Puskesmas Kelurahan,KEL. RAMBUTAN,Rusak Ringan,Non Perawatan,Jakarta Timur,CIRACAS,Jl. H. Jenih Rt 012/01,021-87781628,,,
P3172020203,31720903,Puskesmas Kelurahan,KEL. CIRACAS,Rusak Ringan,Non Perawatan,Jakarta Timur,CIRACAS,Jl. Raya Cantex Rt 012/02,021-8708800,021-8708800,,
P3172020204,31720904,Puskesmas Kelurahan,KEL. CIBUBUR,Baik,Non Perawatan,Jakarta Timur,CIRACAS,Jl. Raya Mesjid Rt 010/04 Bulak Sereh,021-87711043,,,
P3172020205,31720905,Puskesmas Kelurahan,KEL. SUSUKAN,Baik,Non Perawatan,Jakarta Timur,CIRACAS,Jl. H. Baping Rt 009/06,021-8406584,,,
P3172020206,31720906,Puskesmas Kelurahan,KEL. KELAPA DUA WETAN,Rusak Berat,Non Perawatan,Jakarta Timur,CIRACAS,Jl. Raya Kelapa Dua Wetan Rt 001/06,021-70981100,,,
P3172030201,31721001,Puskesmas Kecamatan,KEC. CIPAYUNG,Rusak Ringan,Non Perawatan,Jakarta Timur,CIPAYUNG,Jl. Monumen Pancasila Sakti Rt 002/02,021-87792277,021-87792277,,
P3172030202,31721002,Puskesmas Kelurahan,KEL. LUBANG BUAYA,Baik,Non Perawatan,Jakarta Timur,CIPAYUNG,Jl. Monumen Pancasila,021-87793082,021-87793082,,
P3172030203,31721003,Puskesmas Kelurahan,KEL. BAMBU APUS  I,Rusak Ringan,Non Perawatan,Jakarta Timur,CIPAYUNG,Jl. Mini II Rt 002/03,021-84975368,021-84975368,,
P3172030204,31721004,Puskesmas Kelurahan,KEL. BAMBU APUS II,Rusak Ringan,Non Perawatan,Jakarta Timur,CIPAYUNG,Jl. Shinta Raya,021-84995372,021-84995372,,
P3172030205,31721005,Puskesmas Kelurahan,KEL. CIPAYUNG,Rusak Ringan,Non Perawatan,Jakarta Timur,CIPAYUNG,Jl. Prapatan Kincir,021-84593943,021-84593943,,
P3172030206,31721006,Puskesmas Kelurahan,KEL. MUNJUL,Baik,Non Perawatan,Jakarta Timur,CIPAYUNG,Jl. Dalang Rt 012/02,021-8454964,,,
P3172030207,31721007,Puskesmas Kelurahan,KEL. CEGER,Baik,Non Perawatan,Jakarta Timur,CIPAYUNG,Jl. Puskesmas Rt 001/03,021-84597466,,,
P3172030208,31721008,Puskesmas Kelurahan,KEL. SETU,Rusak Ringan,Non Perawatan,Jakarta Timur,CIPAYUNG,Jl. Puskesmas No 16 Rt 004/03,021-84594524,021-84594524,Setu@CBN.net.id,
P3172030209,31721009,Puskesmas Kelurahan,KEL. CILANGKAP,Baik,Non Perawatan,Jakarta Timur,CIPAYUNG,Jl. Sepakat V,021-8454784,021-8454784,,
P3172030210,31721010,Puskesmas Kelurahan,KEL. PONDOK RANGGON  I,Baik,Non Perawatan,Jakarta Timur,CIPAYUNG,Jl. Kramat gancang Rt 001/04,021-8457548,021-8457548,,
P3172030211,31721011,Puskesmas Kelurahan,KEL. PONDOK RANGGON  II,Baik,Non Perawatan,Jakarta Timur,CIPAYUNG,Jl. Komp Buperta Rt 001/03 Munjul,021-84594012,021-84594012,,
P3172040201,31720801,Puskesmas Kecamatan,KEC. MAKASAR,Rusak Ringan,Non Perawatan,Jakarta Timur,MAKASAR,Jl. Pusdiklat DEPNAKER No. 37,021-8003308,021-8003308,,
P3172040202,31720802,Puskesmas Kelurahan,KEL. CIPINANG MELAYU,Baik,Non Perawatan,Jakarta Timur,MAKASAR,Jl. Budi Harapan II,021-86609575,,,
P3172040203,31720804,Puskesmas Kelurahan,KEL. HALIM P.KUSUMA I,Baik,Non Perawatan,Jakarta Timur,MAKASAR,Jl. Permadi Dirgantara I,,,,
P3172040204,31720805,Puskesmas Kelurahan,KEL. HALIM P.KUSUMA II,Baik,Non Perawatan,Jakarta Timur,MAKASAR,Jl. Halim Golf,021-80886841,,,
P3172040205,31720803,Puskesmas Kelurahan,KEL. KEBON PALA,Rusak Ringan,Non Perawatan,Jakarta Timur,MAKASAR,Jl. Cakrawala Rt.006/10,021-8007620,,,
P3172040206,31720806,Puskesmas Kelurahan,KEL. PINANG RANTI,Rusak Ringan,Non Perawatan,Jakarta Timur,MAKASAR,Jl. Pondok Gede,021-87797347,021-87797347,,
P3172040207,31720807,Puskesmas Kelurahan,KEL. MAKASAR,Rusak Ringan,Non Perawatan,Jakarta Timur,MAKASAR,Jl. Karya Bhakti Rt.013/02,021-8003533,021-8003533,,
P3172050201,31720201,Puskesmas Kecamatan,KEC. KRAMAT JATI,Rusak Ringan,Perawatan,Jakarta Timur,KRAMAT JATI,Jl. Raya Inpres No.48 Kel Tengah,021-87791352,021-97793604,,
P3172050202,31720203,Puskesmas Kelurahan,KEL. CAWANG,Rusak Ringan,Non Perawatan,Jakarta Timur,KRAMAT JATI,Jl. Mesjid Bendungan I Rt 009/10,021-8091870,,,
P3172050203,31720203,Puskesmas Kelurahan,KEL. CILILITAN,Rusak Berat,Non Perawatan,Jakarta Timur,KRAMAT JATI,Jl. Ciliwung Buluh Rt 005/16,021-80889974,021-80889974,,
P3172050204,31720204,Puskesmas Kelurahan,KEL. KRAMAT JATI I,Rusak Ringan,Non Perawatan,Jakarta Timur,KRAMAT JATI,Jl. Langgar Rt 006/10,,,,
P3172050205,31720209,Puskesmas Kelurahan,KEL. KRAMAT JATI II,Rusak Ringan,Non Perawatan,Jakarta Timur,KRAMAT JATI,Jl. RS Polri Rt 006/04,,,,
P3172050206,31720205,Puskesmas Kelurahan,KEL. BATU AMPAR,Baik,Non Perawatan,Jakarta Timur,KRAMAT JATI,Jl. Batu Ampar II Wadas Rt 008/03,,,,
P3172050207,31720206,Puskesmas Kelurahan,KEL. BALAI KAMBANG,Baik,Non Perawatan,Jakarta Timur,KRAMAT JATI,Jl. Gardu Rt 001/02,,,,
P3172050208,31720207,Puskesmas Kelurahan,KEL. KAMPUNG TENGAH,Rusak Berat,Non Perawatan,Jakarta Timur,KRAMAT JATI,Jl. Murai Rt 002/02,021-87780057,,,
P3172050209,31720208,Puskesmas Kelurahan,KEL. DUKUH,Rusak Berat,Non Perawatan,Jakarta Timur,KRAMAT JATI,Jl. Kelurahan Rt 010/04,021-70921124,,,
P3172060201,31720301,Puskesmas Kecamatan,KEC. JATINEGARA,Baik,Non Perawatan,Jakarta Timur,JATINEGARA,Jl. Matraman Raya 220,021-8195146,021-8195146,,
P3172060202,31720302,Puskesmas Kelurahan,KEL. KAMPUNG MELAYU,Rusak Ringan,Non Perawatan,Jakarta Timur,JATINEGARA,Jl. Kebon Pala 1/32,021-8515004,,,
P3172060203,31720303,Puskesmas Kelurahan,KEL. BALI MESTER,Rusak Berat,Non Perawatan,Jakarta Timur,JATINEGARA,Jl. Wedana 006/02,021-85908911,,,
P3172060204,31720304,Puskesmas Kelurahan,KEL. BIDARA CINA I,Baik,Non Perawatan,Jakarta Timur,JATINEGARA,Jl. Otto Iskandar Dinata 82 Rt 006/06,021-85903677,021-85903677,,
P3172060205,31720305,Puskesmas Kelurahan,KEL. BIDARA CINA II,Rusak Ringan,Non Perawatan,Jakarta Timur,JATINEGARA,Jl. Nilam Kp. Dalam Rt 0013/011,,,,
P3172060206,31720306,Puskesmas Kelurahan,KEL. BIDARA CINA III,Rusak Berat,Non Perawatan,Jakarta Timur,JATINEGARA,Jl. Tanjung Lengkong Rt 017/07,021-85917587,021-85917587,,
P3172060207,31720307,Puskesmas Kelurahan,KEL. CIPINANG CEMPEDAK,Rusak Berat,Non Perawatan,Jakarta Timur,JATINEGARA,Jl. Cipinang Cempedak IV Rt 011/06,021-85909474,,,
P3172060208,31720308,Puskesmas Kelurahan,KEL. RAWA BUNGA,Baik,Non Perawatan,Jakarta Timur,JATINEGARA,Jl. Jatinegara Timur IV Rt 02/07,021-8511689,,,
P3172060209,31720309,Puskesmas Kelurahan,KEL. CIPINANG MUARA,Baik,Non Perawatan,Jakarta Timur,JATINEGARA,Jl. BB I Rt 06/15 Cipinang Muara,021-85907746,,,
P3172060210,31720310,Puskesmas Kelurahan,KEL. CIPINANG BESAR UTARA,Rusak Ringan,Non Perawatan,Jakarta Timur,JATINEGARA,Jl. Cipinang Pulo Maja Rt 0015/11,021-8513945,,,
P3172060211,31720311,Puskesmas Kelurahan,KEL. CIPINANG BESAR SEL. I,Rusak Ringan,Non Perawatan,Jakarta Timur,JATINEGARA,Jl. Cipinang Jaya FF Rt 001/07,021-8511127,,,
